"Birdlife_Name","Birdlife_common.name","Jetz_Name","Jetz_order","Jetz_family","Body_mass","Beak"
"Cereopsis novaehollandiae","Cape Barren Goose","Cereopsis_novaehollandiae","Anseriformes","Anatidae",3559.99,47.0917323876023
"Cerorhinca monocerata","Rhinoceros Auklet","Cerorhinca_monocerata","Charadriiformes","Alcidae",482.24,48.3066596939228
"Certhia americana","American Treecreeper","Certhia_americana","Passeriformes","Certhiidae",8.1,16.8659883326517
"Certhia brachydactyla","Short-toed Treecreeper","Certhia_brachydactyla","Passeriformes","Certhiidae",8.2,18.8365360120405
"Certhia discolor","Sikkim Treecreeper","Certhia_discolor","Passeriformes","Certhiidae",10.4,17.2571293181328
"Certhia familiaris","Eurasian Treecreeper","Certhia_familiaris","Passeriformes","Certhiidae",9,17.6441439100878
"Certhia himalayana","Bar-tailed Treecreeper","Certhia_himalayana","Passeriformes","Certhiidae",8.8,20.2350306702517
"Certhia hodgsoni","Hodgson's Treecreeper","Certhia_hodgsoni","Passeriformes","Certhiidae",9,18.2239903527461
"Certhia manipurensis","Manipur Treecreeper","Certhia_manipurensis","Passeriformes","Certhiidae",10.4,19.6066486763302
"Certhia nipalensis","Rusty-flanked Treecreeper","Certhia_nipalensis","Passeriformes","Certhiidae",11.1,15.2739799649827
"Certhia tianquanensis","Sichuan Treecreeper","Certhia_tianquanensis","Passeriformes","Certhiidae",9,17.637999797333
"Certhiasomus stictolaemus","Spot-throated Woodcreeper","Deconychura_stictolaema","Passeriformes","Furnariidae",18.5,18.75782913878
