"Birdlife_Name","Birdlife_common.name","Jetz_Name","Jetz_order","Jetz_family","Body_mass","Beak"
"Caracara plancus","Southern Caracara","Caracara_plancus","Falconiformes","Falconidae",1078.62,43.9982917691385
"Cardellina canadensis","Canada Warbler","Wilsonia_canadensis","Passeriformes","Parulidae",10.04,10.8249997609628
"Cardellina pusilla","Wilson's Warbler","Wilsonia_pusilla","Passeriformes","Parulidae",6.96,11.289392529719
"Cardellina rubra","Red Warbler","Ergaticus_ruber","Passeriformes","Parulidae",8.1,11.088631253223
"Cardellina rubrifrons","Red-faced Warbler","Cardellina_rubrifrons","Passeriformes","Parulidae",8.1,11.1481026301776
"Cardellina versicolor","Pink-headed Warbler","Ergaticus_versicolor","Passeriformes","Parulidae",10,10.895789740231
"Cardinalis cardinalis","Northern Cardinal","Cardinalis_cardinalis","Passeriformes","Cardinalidae",42.64,15.4680913852831
"Cardinalis phoeniceus","Vermilion Cardinal","Cardinalis_phoeniceus","Passeriformes","Cardinalidae",39.1,18.7974005737459
"Cardinalis sinuatus","Pyrrhuloxia","Cardinalis_sinuatus","Passeriformes","Cardinalidae",35.19,15.9866429777257
"Carduelis caniceps","Eastern Goldfinch","Carduelis_carduelis","Passeriformes","Fringillidae",16,NA
"Carduelis citrinella","Citril Finch","Carduelis_citrinella","Passeriformes","Fringillidae",12,10.4483704704605
"Carduelis corsicana","Corsican Finch","Carduelis_corsicana","Passeriformes","Fringillidae",12,10.2960138838794
"Cariama cristata","Red-legged Seriema","Cariama_cristata","Cariamiformes","Cariamidae",1400,66.1097544794087
"Caridonax fulgidus","White-rumped Kingfisher","Caridonax_fulgidus","Coraciiformes","Alcedinidae",171.81,51.1703739362303
"Carpococcyx radiceus","Bornean Ground-cuckoo","Carpococcyx_radiatus","Cuculiformes","Cuculidae",495.68,57.4102159549855
"Carpococcyx renauldi","Coral-billed Ground-cuckoo","Carpococcyx_renauldi","Cuculiformes","Cuculidae",550,46.3098591807745
"Carpococcyx viridis","Sumatran Ground-cuckoo","Carpococcyx_viridis","Cuculiformes","Cuculidae",525,42.1374207994901
"Carpodacus dubius","Chinese White-browed Rosefinch","Carpodacus_thura","Passeriformes","Fringillidae",30.99,12.0304498987738
"Carpodacus edwardsii","Dark-rumped Rosefinch","Carpodacus_edwardsii","Passeriformes","Fringillidae",26.5,12.879425339425
"Carpodacus erythrinus","Common Rosefinch","Carpodacus_erythrinus","Passeriformes","Fringillidae",23.97,12.1032032745277
"Carpodacus formosanus","Taiwan Rosefinch","Carpodacus_vinaceus","Passeriformes","Fringillidae",22.08,NA
"Carpodacus pulcherrimus","Beautiful Rosefinch","Carpodacus_pulcherrimus","Passeriformes","Fringillidae",19.2,12.2800838868897
"Carpodacus puniceus","Red-fronted Rosefinch","Carpodacus_puniceus","Passeriformes","Fringillidae",46.58,17.057556269286
"Carpodacus rhodochlamys","Red-mantled Rosefinch","Carpodacus_rhodochlamys","Passeriformes","Fringillidae",33.4,15.6647662210537
"Carpodacus roborowskii","Tibetan Rosefinch","Carpodacus_roborowskii","Passeriformes","Fringillidae",27.02,13.98498997977
"Carpodacus rodochroa","Pink-browed Rosefinch","Carpodacus_rodochroa","Passeriformes","Fringillidae",17.81,13.8403515002429
"Carpodacus rodopeplus","Spot-winged Rosefinch","Carpodacus_rodopeplus","Passeriformes","Fringillidae",23,15.5560992272012
"Carpodacus roseus","Pallas's Rosefinch","Carpodacus_roseus","Passeriformes","Fringillidae",28.6,12.6411724208593
"Carpodacus rubicilla","Great Rosefinch","Carpodacus_rubicilla","Passeriformes","Fringillidae",43.2,15.7853928861301
"Carpodacus rubicilloides","Streaked Rosefinch","Carpodacus_rubicilloides","Passeriformes","Fringillidae",42.01,17.8434268139973
"Carpodacus sibiricus","Long-tailed Rosefinch","Uragus_sibiricus","Passeriformes","Fringillidae",17.43,10.4555185655225
"Carpodacus sillemi","Sillem's Rosefinch","Leucosticte_sillemi","Passeriformes","Fringillidae",28.9,NA
"Carpodacus sipahi","Scarlet Finch","Haematospiza_sipahi","Passeriformes","Fringillidae",39.5,16.6497375786658
"Carpodacus stoliczkae","Pale Rosefinch","Carpodacus_synoicus","Passeriformes","Fringillidae",20.8,NA
"Carpodacus subhimachalus","Crimson-browed Finch","Pinicola_subhimachala","Passeriformes","Fringillidae",46.07,15.279462467907
"Carpodacus trifasciatus","Three-banded Rosefinch","Carpodacus_trifasciatus","Passeriformes","Fringillidae",27.02,12.7893252501525
"Carpodacus waltoni","Pink-rumped Rosefinch","Carpodacus_eos","Passeriformes","Fringillidae",27.02,11.2389277489856
"Carpodectes antoniae","Yellow-billed Cotinga","Carpodectes_antoniae","Passeriformes","Cotingidae",98,20.2108259713277
"Carpodectes hopkei","Black-tipped Cotinga","Carpodectes_hopkei","Passeriformes","Cotingidae",102,22.1880829733424
"Carpodectes nitidus","Snowy Cotinga","Carpodectes_nitidus","Passeriformes","Cotingidae",101.6,20.3902280746587
"Carpornis cucullata","Hooded Berryeater","Carpornis_cucullata","Passeriformes","Cotingidae",74.19,18.8097683285009
"Carpornis melanocephala","Black-headed Berryeater","Carpornis_melanocephala","Passeriformes","Cotingidae",64.19,19.2965073659085
