Birdlife_Name,Jetz_Name
Acrocephalus astrolabii,Acrocephalus_luscinius
Acrocephalus luscinius,Acrocephalus_luscinius
Acrocephalus melanopogon,Acrocephalus_melanopogon
Acrocephalus mendanae,Acrocephalus_mendanae
Acrocephalus newtoni,Acrocephalus_newtoni
Acrocephalus orientalis,Acrocephalus_orientalis
Acrocephalus orinus,Acrocephalus_orinus
Acrocephalus paludicola,Acrocephalus_paludicola
Acrocephalus palustris,Acrocephalus_palustris
Acrocephalus percernis,Acrocephalus_percernis
Acrocephalus rehsei,Acrocephalus_rehsei
Acrocephalus rimitarae,Acrocephalus_rimitarae
Acrocephalus rodericanus,Acrocephalus_rodericanus
Acrocephalus rufescens,Acrocephalus_rufescens
Acrocephalus schoenobaenus,Acrocephalus_schoenobaenus
Acrocephalus scirpaceus,Acrocephalus_scirpaceus
Acrocephalus sechellensis,Acrocephalus_sechellensis
Acrocephalus sorghophilus,Acrocephalus_sorghophilus
Acrocephalus stentoreus,Acrocephalus_stentoreus
Acrocephalus syrinx,Acrocephalus_syrinx
Acrocephalus taiti,Acrocephalus_taiti
Acrocephalus tangorum,Acrocephalus_tangorum
Acrocephalus vaughani,Acrocephalus_vaughani
Acropternis orthonyx,Acropternis_orthonyx
Acryllium vulturinum,Acryllium_vulturinum
Actenoides bougainvillei,Actenoides_bougainvillei
Actenoides capucinus,Actenoides_capucinus
Actenoides concretus,Actenoides_concretus
Actenoides excelsus,Actenoides_excelsus
Actenoides hombroni,Actenoides_hombroni
Actenoides lindsayi,Actenoides_lindsayi
Actenoides monachus,Actenoides_monachus
Actenoides princeps,Actenoides_princeps
Actenoides regalis,Actenoides_regalis
Actinodura egertoni,Actinodura_egertoni
Sibia morrisoniana,Actinodura_morrisoniana
Sibia nipalensis,Actinodura_nipalensis
Actinodura ramsayi,Actinodura_ramsayi
Actinodura radcliffei,Actinodura_ramsayi
Actinodura sodangorum,Actinodura_sodangorum
Sibia souliei,Actinodura_souliei
Sibia waldeni,Actinodura_waldeni
Actitis hypoleucos,Actitis_hypoleucos
Actitis macularius,Actitis_macularius
Actophilornis africanus,Actophilornis_africanus
Actophilornis albinucha,Actophilornis_albinucha
Adelomyia melanogenys,Adelomyia_melanogenys
Aechmophorus clarkii,Aechmophorus_clarkii
Aechmophorus occidentalis,Aechmophorus_occidentalis
Prosobonia parvirostris,Aechmorhynchus_parvirostris
Aegithalos bonvaloti,Aegithalos_bonvaloti
Aegithalos caudatus,Aegithalos_caudatus
Aegithalos concinnus,Aegithalos_concinnus
Aegithalos iredalei,Aegithalos_concinnus
Aegithalos annamensis,Aegithalos_concinnus
Aegithalos fuliginosus,Aegithalos_fuliginosus
Aegithalos glaucogularis,Aegithalos_glaucogularis
Aegithalos iouschistos,Aegithalos_iouschistos
Aegithalos leucogenys,Aegithalos_leucogenys
Aegithalos niveogularis,Aegithalos_niveogularis
Aegithalos bonvaloti,Aegithalos_sharpei
Aegithina lafresnayei,Aegithina_lafresnayei
Aegithina nigrolutea,Aegithina_nigrolutea
Aegithina tiphia,Aegithina_tiphia
Aegithina viridissima,Aegithina_viridissima
Aegolius acadicus,Aegolius_acadicus
Aegolius funereus,Aegolius_funereus
Aegolius gradyi,Aegolius_gradyi
Aegolius harrisii,Aegolius_harrisii
Aegolius ridgwayi,Aegolius_ridgwayi
Aegotheles affinis,Aegotheles_affinis
Aegotheles albertisi,Aegotheles_albertisi
Aegotheles archboldi,Aegotheles_archboldi
Aegotheles bennettii,Aegotheles_bennettii
Aegotheles cristatus,Aegotheles_cristatus
Aegotheles savesi,Aegotheles_savesi
Aegotheles wallacii,Aegotheles_wallacii
Aegypius monachus,Aegypius_monachus
Amaurornis marginalis,Aenigmatolimnas_marginalis
Aepypodius arfakianus,Aepypodius_arfakianus
Aepypodius bruijnii,Aepypodius_bruijnii
Aerodramus bartschi,Aerodramus_bartschi
Aerodramus brevirostris,Aerodramus_brevirostris
Aerodramus infuscatus,Aerodramus_ceramensis
Aerodramus elaphrus,Aerodramus_elaphrus
Aerodramus francicus,Aerodramus_francicus
Aerodramus fuciphagus,Aerodramus_fuciphagus
Aerodramus fuciphagus,Aerodramus_germani
Aerodramus hirundinaceus,Aerodramus_hirundinaceus
Aerodramus infuscatus,Aerodramus_infuscatus
Aerodramus inquietus,Aerodramus_inquietus
Aerodramus leucophaeus,Aerodramus_leucophaeus
Aerodramus maximus,Aerodramus_maximus
Aerodramus mearnsi,Aerodramus_mearnsi
Aerodramus nuditarsus,Aerodramus_nuditarsus
Aerodramus leucophaeus,Aerodramus_ocistus
Aerodramus orientalis,Aerodramus_orientalis
Aerodramus papuensis,Aerodramus_papuensis
Aerodramus pelewensis,Aerodramus_pelewensis
Aerodramus salangana,Aerodramus_salangana
Aerodramus sawtelli,Aerodramus_sawtelli
Aerodramus infuscatus,Aerodramus_sororum
Aerodramus spodiopygius,Aerodramus_spodiopygius
Aerodramus terraereginae,Aerodramus_terraereginae
Aerodramus unicolor,Aerodramus_unicolor
Aerodramus vanikorensis,Aerodramus_vanikorensis
Aerodramus vulcanorum,Aerodramus_vulcanorum
Aerodramus whiteheadi,Aerodramus_whiteheadi
Aeronautes andecolus,Aeronautes_andecolus
Aeronautes montivagus,Aeronautes_montivagus
Aeronautes saxatalis,Aeronautes_saxatalis
Aethia cristatella,Aethia_cristatella
Aethia psittacula,Aethia_psittacula
Aethia pusilla,Aethia_pusilla
Aethia pygmaea,Aethia_pygmaea
Aethopyga bella,Aethopyga_bella
Aethopyga boltoni,Aethopyga_boltoni
Aethopyga latouchii,Aethopyga_christinae
Aethopyga christinae,Aethopyga_christinae
Aethopyga duyvenbodei,Aethopyga_duyvenbodei
Aethopyga eximia,Aethopyga_eximia
Aethopyga guimarasensis,Aethopyga_flagrans
Aethopyga flagrans,Aethopyga_flagrans
Aethopyga gouldiae,Aethopyga_gouldiae
Aethopyga ignicauda,Aethopyga_ignicauda
Aethopyga linaraborae,Aethopyga_linaraborae
Aethopyga mystacalis,Aethopyga_mystacalis
Aethopyga nipalensis,Aethopyga_nipalensis
Aethopyga primigenia,Aethopyga_primigenia
Aethopyga pulcherrima,Aethopyga_pulcherrima
Aethopyga saturata,Aethopyga_saturata
Aethopyga shelleyi,Aethopyga_shelleyi
Aethopyga magnifica,Aethopyga_siparaja
Aethopyga siparaja,Aethopyga_siparaja
Aethopyga temminckii,Aethopyga_temminckii
Aethopyga vigorsii,Aethopyga_vigorsii
Afropavo congensis,Afropavo_congensis
Afrotis afra,Afrotis_afra
Afrotis afraoides,Afrotis_afraoides
Agamia agami,Agamia_agami
Agapornis canus,Agapornis_canus
Agapornis fischeri,Agapornis_fischeri
Agapornis lilianae,Agapornis_lilianae
Agapornis nigrigenis,Agapornis_nigrigenis
Agapornis personatus,Agapornis_personatus
Agapornis pullarius,Agapornis_pullarius
Agapornis roseicollis,Agapornis_roseicollis
Agapornis swindernianus,Agapornis_swindernianus
Agapornis taranta,Agapornis_taranta
Agelaioides badius,Agelaioides_badius
Agelaioides fringillarius,Agelaioides_badius
Oreopsar bolivianus,Agelaioides_oreopsar
Agelaius assimilis,Agelaius_assimilis
Agelaius humeralis,Agelaius_humeralis
Agelaius phoeniceus,Agelaius_phoeniceus
Agelaius tricolor,Agelaius_tricolor
Agelaius xanthomus,Agelaius_xanthomus
Agelastes meleagrides,Agelastes_meleagrides
Agelastes niger,Agelastes_niger
Agelasticus cyanopus,Agelasticus_cyanopus
Agelasticus thilius,Agelasticus_thilius
Agelasticus xanthophthalmus,Agelasticus_xanthophthalmus
Aglaeactis aliciae,Aglaeactis_aliciae
Aglaeactis castelnaudii,Aglaeactis_castelnaudii
Aglaeactis cupripennis,Aglaeactis_cupripennis
Aglaeactis pamela,Aglaeactis_pamela
Aglaiocercus berlepschi,Aglaiocercus_berlepschi
Aglaiocercus coelestis,Aglaiocercus_coelestis
Aglaiocercus kingii,Aglaiocercus_kingii
Agriornis albicauda,Agriornis_albicauda
Agriornis lividus,Agriornis_lividus
Agriornis micropterus,Agriornis_micropterus
Agriornis montanus,Agriornis_montanus
Agriornis murinus,Agriornis_murinus
Agropsar philippensis,Agropsar_philippensis
Agropsar sturninus,Agropsar_sturninus
Ailuroedus buccoides,Ailuroedus_buccoides
Ailuroedus crassirostris,Ailuroedus_crassirostris
Ailuroedus melanotis,Ailuroedus_melanotis
Peucaea aestivalis,Aimophila_aestivalis
Peucaea botterii,Aimophila_botterii
Peucaea carpalis,Aimophila_carpalis
Peucaea cassinii,Aimophila_cassinii
Peucaea humeralis,Aimophila_humeralis
Peucaea mystacalis,Aimophila_mystacalis
Aimophila notosticta,Aimophila_notosticta
Amphispiza quinquestriata,Aimophila_quinquestriata
Aimophila rufescens,Aimophila_rufescens
Peucaea ruficauda,Aimophila_ruficauda
Aimophila ruficeps,Aimophila_ruficeps
Rhynchospiza stolzmanni,Aimophila_stolzmanni
Rhynchospiza strigiceps,Aimophila_strigiceps
Peucaea sumichrasti,Aimophila_sumichrasti
Aix galericulata,Aix_galericulata
Aix sponsa,Aix_sponsa
Alaemon alaudipes,Alaemon_alaudipes
Alaemon hamertoni,Alaemon_hamertoni
Alauda arvensis,Alauda_arvensis
Alauda gulgula,Alauda_gulgula
Alauda arvensis,Alauda_japonica
Alauda razae,Alauda_razae
Alca torda,Alca_torda
Alcedo atthis,Alcedo_atthis
Alcedo coerulescens,Alcedo_coerulescens
Corythornis cristatus,Alcedo_cristata
Alcedo euryzona,Alcedo_euryzona
Alcedo hercules,Alcedo_hercules
Corythornis leucogaster,Alcedo_leucogaster
Alcedo meninting,Alcedo_meninting
Corythornis nais,Alcedo_nais
Alcedo peninsulae,Alcedo_peninsulae
Alcedo quadribrachys,Alcedo_quadribrachys
Alcedo semitorquata,Alcedo_semitorquata
Corythornis thomensis,Alcedo_thomensis
Corythornis vintsioides,Alcedo_vintsioides
Schoeniparus brunneus,Alcippe_brunnea
Alcippe brunneicauda,Alcippe_brunneicauda
Schoeniparus castaneceps,Alcippe_castaneceps
Lioparus chrysotis,Alcippe_chrysotis
Schoeniparus cinereus,Alcippe_cinerea
Fulvetta cinereiceps,Alcippe_cinereiceps
Fulvetta danisi,Alcippe_danisi
Schoeniparus dubius,Alcippe_dubia
Fulvetta formosana,Alcippe_formosana
Alcippe grotei,Alcippe_grotei
Schoeniparus klossi,Alcippe_klossi
Fulvetta ludlowi,Alcippe_ludlowi
Fulvetta manipurensis,Alcippe_manipurensis
Alcippe morrisonia,Alcippe_morrisonia
Alcippe nipalensis,Alcippe_nipalensis
Alcippe peracensis,Alcippe_peracensis
Alcippe poioicephala,Alcippe_poioicephala
Alcippe pyrrhoptera,Alcippe_pyrrhoptera
Fulvetta ruficapilla,Alcippe_ruficapilla
Schoeniparus rufogularis,Alcippe_rufogularis
Fulvetta striaticollis,Alcippe_striaticollis
Schoeniparus variegaticeps,Alcippe_variegaticeps
Fulvetta vinipectus,Alcippe_vinipectus
Aleadryas rufinucha,Aleadryas_rufinucha
Alectoris barbara,Alectoris_barbara
Alectoris chukar,Alectoris_chukar
Alectoris graeca,Alectoris_graeca
Alectoris magna,Alectoris_magna
Alectoris melanocephala,Alectoris_melanocephala
Alectoris philbyi,Alectoris_philbyi
Alectoris rufa,Alectoris_rufa
Alectroenas madagascariensis,Alectroenas_madagascariensis
Alectroenas nitidissimus,Alectroenas_nitidissimus
Alectroenas payandeei,Alectroenas_payandeei
Alectroenas pulcherrimus,Alectroenas_pulcherrima
Alectroenas sganzini,Alectroenas_sganzini
Alectrurus risora,Alectrurus_risora
Alectrurus tricolor,Alectrurus_tricolor
Alectura lathami,Alectura_lathami
Alethe castanea,Alethe_castanea
Alethe diademata,Alethe_diademata
Alipiopsitta xanthops,Alipiopsitta_xanthops
Alisterus amboinensis,Alisterus_amboinensis
Alisterus chloropterus,Alisterus_chloropterus
Alisterus scapularis,Alisterus_scapularis
Alle alle,Alle_alle
Allenia fusca,Allenia_fusca
Alopecoenas ferrugineus,Alopecoenas_ferrugineus
Alopecoenas johannae,Alopecoenas_johannae
Alophoixus frater,Alophoixus_bres
Alophoixus tephrogenys,Alophoixus_bres
Alophoixus bres,Alophoixus_bres
Alophoixus finschii,Alophoixus_finschii
Alophoixus flaveolus,Alophoixus_flaveolus
Alophoixus ruficrissus,Alophoixus_ochraceus
Alophoixus ochraceus,Alophoixus_ochraceus
Alophoixus griseiceps,Alophoixus_pallidus
Alophoixus pallidus,Alophoixus_pallidus
Alophoixus phaeocephalus,Alophoixus_phaeocephalus
Alopochelidon fucata,Alopochelidon_fucata
Alopochen aegyptiaca,Alopochen_aegyptiaca
Alopochen kervazoi,Alopochen_kervazoi
Alopochen mauritiana,Alopochen_mauritiana
Amadina erythrocephala,Amadina_erythrocephala
Amadina fasciata,Amadina_fasciata
Amalocichla incerta,Amalocichla_incerta
Amalocichla sclateriana,Amalocichla_sclateriana
Amandava amandava,Amandava_amandava
Amandava formosa,Amandava_formosa
Amandava subflava,Amandava_subflava
Amaurocichla bocagii,Amaurocichla_bocagii
Amaurolimnas concolor,Amaurolimnas_concolor
Zapornia akool,Amaurornis_akool
Zapornia flavirostra,Amaurornis_flavirostra
Amaurornis isabellina,Amaurornis_isabellina
Amaurornis magnirostris,Amaurornis_magnirostris
Amaurornis moluccana,Amaurornis_moluccana
Amaurornis olivacea,Amaurornis_olivacea
Zapornia olivieri,Amaurornis_olivieri
Amaurornis phoenicurus,Amaurornis_phoenicurus
Amaurospiza moesta,Amaurospiza_carrizalensis
Amaurospiza moesta,Amaurospiza_concolor
Amaurospiza relicta,Amaurospiza_moesta
Amaurospiza moesta,Amaurospiza_moesta
Amazilia amabilis,Amazilia_amabilis
Amazilia amazilia,Amazilia_amazilia
Amazilia bartletti,Amazilia_bartletti
Amazilia beryllina,Amazilia_beryllina
Amazilia boucardi,Amazilia_boucardi
Amazilia brevirostris,Amazilia_brevirostris
Amazilia candida,Amazilia_candida
Amazilia castaneiventris,Amazilia_castaneiventris
Amazilia chionogaster,Amazilia_chionogaster
Amazilia cupreicauda,Amazilia_cupreicauda
Amazilia cyanifrons,Amazilia_cyanifrons
Amazilia cyanocephala,Amazilia_cyanocephala
Amazilia cyanura,Amazilia_cyanura
Amazilia decora,Amazilia_decora
Amazilia edward,Amazilia_edward
Amazilia fimbriata,Amazilia_fimbriata
Amazilia franciae,Amazilia_franciae
Amazilia lactea,Amazilia_lactea
Amazilia leucogaster,Amazilia_leucogaster
Amazilia luciae,Amazilia_luciae
Amazilia rosenbergi,Amazilia_rosenbergi
Amazilia rutila,Amazilia_rutila
Amazilia saucerottei,Amazilia_saucerrottei
Amazilia tobaci,Amazilia_tobaci
Amazilia tzacatl,Amazilia_tzacatl
Amazilia versicolor,Amazilia_versicolor
Amazilia violiceps,Amazilia_violiceps
Amazilia viridicauda,Amazilia_viridicauda
Amazilia viridifrons,Amazilia_viridifrons
Amazilia viridigaster,Amazilia_viridigaster
Amazilia wagneri,Amazilia_wagneri
Amazilia yucatanensis,Amazilia_yucatanensis
Amazona aestiva,Amazona_aestiva
Amazona agilis,Amazona_agilis
Amazona albifrons,Amazona_albifrons
Amazona amazonica,Amazona_amazonica
Amazona arausiaca,Amazona_arausiaca
Amazona auropalliata,Amazona_auropalliata
Amazona autumnalis,Amazona_autumnalis
Amazona barbadensis,Amazona_barbadensis
Amazona bodini,Amazona_bodini
Amazona brasiliensis,Amazona_brasiliensis
Amazona collaria,Amazona_collaria
Amazona diadema,Amazona_diadema
Amazona dufresniana,Amazona_dufresniana
Amazona farinosa,Amazona_farinosa
Amazona festiva,Amazona_festiva
Amazona finschi,Amazona_finschi
Amazona guatemalae,Amazona_guatemalae
Amazona guildingii,Amazona_guildingii
Amazona imperialis,Amazona_imperialis
Amazona kawalli,Amazona_kawalli
Amazona leucocephala,Amazona_leucocephala
Amazona lilacina,Amazona_lilacina
Amazona martinicana,Amazona_martinicana
Amazona mercenarius,Amazona_mercenaria
Amazona ochrocephala,Amazona_ochrocephala
Amazona oratrix,Amazona_oratrix
Amazona pretrei,Amazona_pretrei
Amazona rhodocorytha,Amazona_rhodocorytha
Amazona tucumana,Amazona_tucumana
Amazona ventralis,Amazona_ventralis
Amazona versicolor,Amazona_versicolor
Amazona vinacea,Amazona_vinacea
Amazona violacea,Amazona_violacea
Amazona viridigenalis,Amazona_viridigenalis
Amazona vittata,Amazona_vittata
Amazona xantholora,Amazona_xantholora
Amazonetta brasiliensis,Amazonetta_brasiliensis
Amblycercus holosericeus,Amblycercus_holosericeus
Amblyornis flavifrons,Amblyornis_flavifrons
Amblyornis inornata,Amblyornis_inornata
Amblyornis macgregoriae,Amblyornis_macgregoriae
Amblyornis subalaris,Amblyornis_subalaris
Amblyospiza albifrons,Amblyospiza_albifrons
Amblyramphus holosericeus,Amblyramphus_holosericeus
Ammodramus aurifrons,Ammodramus_aurifrons
Passerculus bairdii,Ammodramus_bairdii
Ammospiza caudacuta,Ammodramus_caudacutus
Passerculus henslowii,Ammodramus_henslowii
Ammodramus humeralis,Ammodramus_humeralis
Ammospiza leconteii,Ammodramus_leconteii
Ammospiza maritima,Ammodramus_maritimus
Ammospiza nelsoni,Ammodramus_nelsoni
Ammodramus savannarum,Ammodramus_savannarum
Ammomanes cinctura,Ammomanes_cinctura
Ammomanes deserti,Ammomanes_deserti
Ammomanes phoenicura,Ammomanes_phoenicura
Ammomanopsis grayi,Ammomanopsis_grayi
Ammoperdix griseogularis,Ammoperdix_griseogularis
Ammoperdix heyi,Ammoperdix_heyi
Ampeliceps coronatus,Ampeliceps_coronatus
Ampelioides tschudii,Ampelioides_tschudii
Ampelion rubrocristatus,Ampelion_rubrocristatus
Ampelion rufaxilla,Ampelion_rufaxilla
Amphilais seebohmi,Amphilais_seebohmi
Artemisiospiza belli,Amphispiza_belli
Artemisiospiza nevadensis,Amphispiza_belli
Amphispiza bilineata,Amphispiza_bilineata
Amytornis ballarae,Amytornis_ballarae
Amytornis barbatus,Amytornis_barbatus
Amytornis dorotheae,Amytornis_dorotheae
Amytornis goyderi,Amytornis_goyderi
Amytornis housei,Amytornis_housei
Amytornis merrotsyi,Amytornis_merrotsyi
Amytornis purnelli,Amytornis_purnelli
Amytornis striatus,Amytornis_striatus
Amytornis textilis,Amytornis_textilis
Amytornis modestus,Amytornis_textilis
Amytornis woodwardi,Amytornis_woodwardi
Anabacerthia amaurotis,Anabacerthia_amaurotis
Anabacerthia striaticollis,Anabacerthia_striaticollis
Anabacerthia variegaticeps,Anabacerthia_variegaticeps
Anabathmis hartlaubii,Anabathmis_hartlaubii
Anabathmis newtonii,Anabathmis_newtonii
Anabathmis reichenbachii,Anabathmis_reichenbachii
Anabazenops dorsalis,Anabazenops_dorsalis
Anabazenops fuscus,Anabazenops_fuscus
Uromyias agilis,Anairetes_agilis
Uromyias agraphia,Anairetes_agraphia
Anairetes alpinus,Anairetes_alpinus
Anairetes fernandezianus,Anairetes_fernandezianus
Anairetes flavirostris,Anairetes_flavirostris
Anairetes nigrocristatus,Anairetes_nigrocristatus
Anairetes parulus,Anairetes_parulus
Anairetes reguloides,Anairetes_reguloides
Anaplectes jubaensis,Anaplectes_melanotis
Anaplectes rubriceps,Anaplectes_melanotis
Anaplectes leuconotos,Anaplectes_melanotis
Anarhynchus frontalis,Anarhynchus_frontalis
Anas acuta,Anas_acuta
Anas albogularis,Anas_albogularis
Mareca americana,Anas_americana
Anas andium,Anas_andium
Anas aucklandica,Anas_aucklandica
Anas bahamensis,Anas_bahamensis
Anas bernieri,Anas_bernieri
Anas capensis,Anas_capensis
Anas crecca,Anas_carolinensis
Anas castanea,Anas_castanea
Anas chlorotis,Anas_chlorotis
Spatula clypeata,Anas_clypeata
Anas crecca,Anas_crecca
Spatula cyanoptera,Anas_cyanoptera
Spatula discors,Anas_discors
Anas eatoni,Anas_eatoni
Anas erythrorhyncha,Anas_erythrorhyncha
Mareca falcata,Anas_falcata
Anas flavirostris,Anas_flavirostris
Sibirionetta formosa,Anas_formosa
Anas fulvigula,Anas_fulvigula
Anas georgica,Anas_georgica
Anas gibberifrons,Anas_gibberifrons
Anas gracilis,Anas_gracilis
Spatula hottentota,Anas_hottentota
Anas laysanensis,Anas_laysanensis
Anas luzonica,Anas_luzonica
Anas marecula,Anas_marecula
Anas melleri,Anas_melleri
Anas nesiotis,Anas_nesiotis
Mareca penelope,Anas_penelope
Spatula platalea,Anas_platalea
Anas platyrhynchos,Anas_platyrhynchos
Anas poecilorhyncha,Anas_poecilorhyncha
Spatula puna,Anas_puna
Spatula querquedula,Anas_querquedula
Spatula rhynchotis,Anas_rhynchotis
Anas rubripes,Anas_rubripes
Mareca sibilatrix,Anas_sibilatrix
Spatula smithii,Anas_smithii
Anas sparsa,Anas_sparsa
Mareca strepera,Anas_strepera
Anas superciliosa,Anas_superciliosa
Anas theodori,Anas_theodori
Anas undulata,Anas_undulata
Spatula versicolor,Anas_versicolor
Anas wyvilliana,Anas_wyvilliana
Anas zonorhyncha,Anas_zonorhyncha
Anastomus lamelligerus,Anastomus_lamelligerus
Anastomus oscitans,Anastomus_oscitans
Ancistrops strigilatus,Ancistrops_strigilatus
Andigena cucullata,Andigena_cucullata
Andigena hypoglauca,Andigena_hypoglauca
Andigena laminirostris,Andigena_laminirostris
Andigena nigrirostris,Andigena_nigrirostris
Androdon aequatorialis,Androdon_aequatorialis
Eurillas ansorgei,Andropadus_ansorgei
Arizelocichla chlorigula,Andropadus_chlorigula
Eurillas curvirostris,Andropadus_curvirostris
Arizelocichla fusciceps,Andropadus_fusciceps
Stelgidillas gracilirostris,Andropadus_gracilirostris
Eurillas gracilis,Andropadus_gracilis
Andropadus importunus,Andropadus_importunus
Arizelocichla masukuensis,Andropadus_kakamegae
Andropadus importunus,Andropadus_kikuyuensis
Eurillas latirostris,Andropadus_latirostris
Arizelocichla masukuensis,Andropadus_masukuensis
Arizelocichla milanjensis,Andropadus_milanjensis
Arizelocichla montana,Andropadus_montanus
Arizelocichla neumanni,Andropadus_neumanni
Arizelocichla nigriceps,Andropadus_nigriceps
Arizelocichla milanjensis,Andropadus_olivaceiceps
Arizelocichla striifacies,Andropadus_striifacies
Arizelocichla tephrolaema,Andropadus_tephrolaemus
Eurillas virens,Andropadus_virens
Androphobus viridis,Androphobus_viridis
Anhima cornuta,Anhima_cornuta
