"Birdlife_Name","Jetz_Name"
"Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus"
"Acrocephalus scirpaceus","Acrocephalus_scirpaceus"
"Acrocephalus sechellensis","Acrocephalus_sechellensis"
"Acrocephalus sorghophilus","Acrocephalus_sorghophilus"
"Acrocephalus stentoreus","Acrocephalus_stentoreus"
"Acrocephalus syrinx","Acrocephalus_syrinx"
"Acrocephalus taiti","Acrocephalus_taiti"
"Acrocephalus tangorum","Acrocephalus_tangorum"
"Acrocephalus vaughani","Acrocephalus_vaughani"
"Acrocephalus yamashinae","Acrocephalus_luscinius"
"Acropternis orthonyx","Acropternis_orthonyx"
"Acryllium vulturinum","Acryllium_vulturinum"
"Actenoides bougainvillei","Actenoides_bougainvillei"
"Actenoides capucinus","Actenoides_monachus"
"Actenoides concretus","Actenoides_concretus"
"Actenoides excelsus","Actenoides_bougainvillei"
"Actenoides hombroni","Actenoides_hombroni"
"Actenoides lindsayi","Actenoides_lindsayi"
"Actenoides monachus","Actenoides_monachus"
"Actenoides princeps","Actenoides_princeps"
"Actenoides regalis","Actenoides_princeps"
"Actinodura egertoni","Actinodura_egertoni"
"Actinodura radcliffei","Actinodura_ramsayi"
"Actinodura ramsayi","Actinodura_ramsayi"
"Actinodura sodangorum","Actinodura_sodangorum"
"Actitis hypoleucos","Actitis_hypoleucos"
"Actitis macularius","Actitis_macularius"
"Actophilornis africanus","Actophilornis_africanus"
"Actophilornis albinucha","Actophilornis_albinucha"
"Adelomyia melanogenys","Adelomyia_melanogenys"
"Aechmophorus clarkii","Aechmophorus_clarkii"
"Aechmophorus occidentalis","Aechmophorus_occidentalis"
"Aegithalos annamensis","Aegithalos_concinnus"
"Aegithalos bonvaloti","Aegithalos_iouschistos"
"Aegithalos caudatus","Aegithalos_caudatus"
"Aegithalos concinnus","Aegithalos_concinnus"
"Aegithalos fuliginosus","Aegithalos_fuliginosus"
"Aegithalos glaucogularis","Aegithalos_caudatus"
"Aegithalos iouschistos","Aegithalos_iouschistos"
"Aegithalos iredalei","Aegithalos_concinnus"
"Aegithalos leucogenys","Aegithalos_leucogenys"
"Aegithalos niveogularis","Aegithalos_niveogularis"
"Aegithina lafresnayei","Aegithina_lafresnayei"
"Aegithina nigrolutea","Aegithina_nigrolutea"
"Aegithina tiphia","Aegithina_tiphia"
"Aegithina viridissima","Aegithina_viridissima"
"Aegolius acadicus","Aegolius_acadicus"
"Aegolius funereus","Aegolius_funereus"
"Aegolius gradyi",NA
"Aegolius harrisii","Aegolius_harrisii"
"Aegolius ridgwayi","Aegolius_ridgwayi"
"Aegotheles affinis","Aegotheles_bennettii"
"Aegotheles albertisi","Aegotheles_albertisi"
"Aegotheles archboldi","Aegotheles_archboldi"
"Aegotheles bennettii","Aegotheles_bennettii"
"Aegotheles crinifrons","Aegotheles_crinifrons"
"Aegotheles cristatus","Aegotheles_cristatus"
"Aegotheles insignis","Aegotheles_insignis"
"Aegotheles savesi","Aegotheles_savesi"
"Aegotheles tatei","Aegotheles_tatei"
"Aegotheles wallacii","Aegotheles_wallacii"
"Aegypius monachus","Aegypius_monachus"
"Aepypodius arfakianus","Aepypodius_arfakianus"
"Aepypodius bruijnii","Aepypodius_bruijnii"
"Aerodramus bartschi","Collocalia_bartschi"
"Aerodramus brevirostris","Collocalia_brevirostris"
"Aerodramus elaphrus","Collocalia_elaphra"
"Aerodramus francicus","Collocalia_francica"
"Aerodramus fuciphagus","Collocalia_fuciphaga"
"Aerodramus hirundinaceus","Collocalia_hirundinacea"
"Aerodramus infuscatus","Collocalia_infuscata"
"Aerodramus inquietus","Collocalia_inquieta"
"Aerodramus leucophaeus","Collocalia_leucophaea"
"Aerodramus maximus","Collocalia_maxima"
"Aerodramus mearnsi","Collocalia_mearnsi"
"Aerodramus nuditarsus","Collocalia_nuditarsus"
"Aerodramus orientalis","Collocalia_orientalis"
"Aerodramus papuensis","Collocalia_papuensis"
"Aerodramus pelewensis","Collocalia_pelewensis"
"Aerodramus salangana","Collocalia_salangana"
"Aerodramus sawtelli","Collocalia_sawtelli"
"Aerodramus spodiopygius","Collocalia_spodiopygia"
"Aerodramus terraereginae","Collocalia_terraereginae"
"Aerodramus unicolor","Collocalia_unicolor"
"Aerodramus vanikorensis","Collocalia_vanikorensis"
"Aerodramus vulcanorum","Collocalia_vulcanorum"
"Aerodramus whiteheadi","Collocalia_whiteheadi"
"Aeronautes andecolus","Aeronautes_andecolus"
"Aeronautes montivagus","Aeronautes_montivagus"
"Aeronautes saxatalis","Aeronautes_saxatalis"
"Aethia cristatella","Aethia_cristatella"
"Aethia psittacula","Aethia_psittacula"
"Aethia pusilla","Aethia_pusilla"
"Aethia pygmaea","Aethia_pygmaea"
"Aethopyga bella","Aethopyga_bella"
"Aethopyga boltoni","Aethopyga_boltoni"
"Aethopyga christinae","Aethopyga_christinae"
"Aethopyga duyvenbodei","Aethopyga_duyvenbodei"
"Aethopyga eximia","Aethopyga_eximia"
"Aethopyga flagrans","Aethopyga_flagrans"
"Aethopyga gouldiae","Aethopyga_gouldiae"
"Aethopyga guimarasensis","Aethopyga_flagrans"
"Aethopyga ignicauda","Aethopyga_ignicauda"
"Aethopyga latouchii","Aethopyga_christinae"
"Aethopyga linaraborae","Aethopyga_linaraborae"
"Aethopyga magnifica","Aethopyga_siparaja"
"Aethopyga mystacalis","Aethopyga_mystacalis"
"Aethopyga nipalensis","Aethopyga_nipalensis"
"Aethopyga primigenia","Aethopyga_primigenia"
"Aethopyga pulcherrima","Aethopyga_pulcherrima"
"Aethopyga saturata","Aethopyga_saturata"
"Aethopyga shelleyi","Aethopyga_shelleyi"
"Aethopyga siparaja","Aethopyga_siparaja"
"Aethopyga temminckii","Aethopyga_mystacalis"
"Aethopyga vigorsii","Aethopyga_siparaja"
"Afropavo congensis","Afropavo_congensis"
"Afrotis afra","Eupodotis_afra"
"Afrotis afraoides","Eupodotis_afraoides"
"Agamia agami","Agamia_agami"
"Agapornis canus","Agapornis_canus"
"Agapornis fischeri","Agapornis_fischeri"
"Agapornis lilianae","Agapornis_lilianae"
"Agapornis nigrigenis","Agapornis_nigrigenis"
"Agapornis personatus","Agapornis_personatus"
"Agapornis pullarius","Agapornis_pullarius"
"Agapornis roseicollis","Agapornis_roseicollis"
"Agapornis swindernianus","Agapornis_swindernianus"
"Agapornis taranta","Agapornis_taranta"
"Agelaioides badius","Agelaioides_badius"
"Agelaioides fringillarius","Agelaioides_badius"
"Agelaius assimilis","Agelaius_assimilis"
"Agelaius humeralis","Agelaius_humeralis"
"Agelaius phoeniceus","Agelaius_phoeniceus"
"Agelaius tricolor","Agelaius_tricolor"
"Agelaius xanthomus","Agelaius_xanthomus"
"Agelastes meleagrides","Agelastes_meleagrides"
"Agelastes niger","Agelastes_niger"
"Agelasticus cyanopus","Agelasticus_cyanopus"
"Agelasticus thilius","Agelasticus_thilius"
"Agelasticus xanthophthalmus","Agelasticus_xanthophthalmus"
"Aglaeactis aliciae","Aglaeactis_aliciae"
"Aglaeactis castelnaudii","Aglaeactis_castelnaudii"
"Aglaeactis cupripennis","Aglaeactis_cupripennis"
"Aglaeactis pamela","Aglaeactis_pamela"
"Aglaiocercus berlepschi","Aglaiocercus_berlepschi"
"Aglaiocercus coelestis","Aglaiocercus_coelestis"
"Aglaiocercus kingii","Aglaiocercus_kingi"
"Agraphospiza rubescens","Carpodacus_rubescens"
"Agricola infuscatus","Bradornis_infuscatus"
"Agricola pallidus","Bradornis_pallidus"
"Agriornis albicauda","Agriornis_albicauda"
"Agriornis lividus","Agriornis_lividus"
"Agriornis micropterus","Agriornis_micropterus"
"Agriornis montanus","Agriornis_montanus"
"Agriornis murinus","Agriornis_murinus"
"Agropsar philippensis","Sturnus_philippensis"
"Agropsar sturninus","Sturnus_sturninus"
"Ailuroedus buccoides","Ailuroedus_buccoides"
"Ailuroedus crassirostris","Ailuroedus_crassirostris"
"Ailuroedus melanotis","Ailuroedus_melanotis"
"Aimophila notosticta","Aimophila_notosticta"
"Aimophila rufescens","Aimophila_rufescens"
"Aimophila ruficeps","Aimophila_ruficeps"
"Aix galericulata","Aix_galericulata"
"Aix sponsa","Aix_sponsa"
"Akialoa ellisiana",NA
"Akialoa lanaiensis",NA
"Akialoa obscura",NA
"Akialoa stejnegeri",NA
"Akletos goeldii","Myrmeciza_goeldii"
"Akletos melanoceps","Myrmeciza_melanoceps"
"Alaemon alaudipes","Alaemon_alaudipes"
"Alaemon hamertoni","Alaemon_hamertoni"
"Alauda arvensis","Alauda_arvensis"
"Alauda gulgula","Alauda_gulgula"
"Alauda leucoptera","Melanocorypha_leucoptera"
"Alauda razae","Alauda_razae"
"Alaudala raytal","Calandrella_raytal"
"Alaudala rufescens","Calandrella_rufescens"
"Alaudala somalica","Calandrella_somalica"
"Alca torda","Alca_torda"
"Alcedo atthis","Alcedo_atthis"
"Alcedo coerulescens","Alcedo_coerulescens"
"Alcedo euryzona","Alcedo_euryzona"
"Alcedo hercules","Alcedo_hercules"
"Alcedo meninting","Alcedo_meninting"
"Alcedo peninsulae","Alcedo_euryzona"
"Alcedo quadribrachys","Alcedo_quadribrachys"
"Alcedo semitorquata","Alcedo_semitorquata"
"Alcippe brunneicauda","Alcippe_brunneicauda"
"Alcippe grotei","Alcippe_grotei"
"Alcippe morrisonia","Alcippe_morrisonia"
"Alcippe nipalensis","Alcippe_nipalensis"
"Alcippe peracensis","Alcippe_peracensis"
"Alcippe poioicephala","Alcippe_poioicephala"
"Alcippe pyrrhoptera","Alcippe_pyrrhoptera"
"Alcurus striatus","Pycnonotus_striatus"
"Aleadryas rufinucha","Aleadryas_rufinucha"
"Alectoris barbara","Alectoris_barbara"
"Alectoris chukar","Alectoris_chukar"
"Alectoris graeca","Alectoris_graeca"
"Alectoris magna","Alectoris_magna"
"Alectoris melanocephala","Alectoris_melanocephala"
"Alectoris philbyi","Alectoris_philbyi"
"Alectoris rufa","Alectoris_rufa"
"Alectroenas madagascariensis","Alectroenas_madagascariensis"
"Alectroenas nitidissimus",NA
"Alectroenas payandeei",NA
"Alectroenas pulcherrimus","Alectroenas_pulcherrima"
"Alectroenas sganzini","Alectroenas_sganzini"
"Alectrurus risora","Alectrurus_risora"
"Alectrurus tricolor","Alectrurus_tricolor"
"Alectura lathami","Alectura_lathami"
"Alethe castanea","Alethe_diademata"
"Alethe diademata","Alethe_diademata"
"Alipiopsitta xanthops","Alipiopsitta_xanthops"
"Alisterus amboinensis","Alisterus_amboinensis"
"Alisterus chloropterus","Alisterus_chloropterus"
"Alisterus scapularis","Alisterus_scapularis"
"Alle alle","Alle_alle"
