"Jetz_Name","Body_mass","Latitude_mean","Beak"
"Acrocephalus_rodericanus",11.8,-19.66,18.1515952263532
"Acrocephalus_rufescens",22.72,0.7,20.6790400820412
"Acrocephalus_schoenobaenus",11.83,54.19,14.714438714154
"Acrocephalus_scirpaceus",12.3,45.37,17.5925397856181
"Acrocephalus_sechellensis",15.87,-4.16,17.4995858862139
"Acrocephalus_sorghophilus",14.18,41.46,15.2293062575395
"Acrocephalus_stentoreus",24.2,3.26,24.2722653028276
"Acrocephalus_syrinx",20.06,6.67,25.2248205601014
"Acrocephalus_taiti",24.25,-24.55,20.7549426993355
"Acrocephalus_tangorum",16.39,NA,14.7984471417964
"Acrocephalus_vaughani",24.37,-24.22,20.7347096114606
"Acropternis_orthonyx",89.86,2.06,23.3368354637401
"Acryllium_vulturinum",1330,2.95,39.9845668874262
"Actenoides_bougainvillei",188,-7.59,51.9955954158679
"Actenoides_monachus",106,-1.75,56.4414299324504
"Actenoides_concretus",73.47,1.87,49.3858670570888
"Actenoides_hombroni",117,7.57,46.2137676436603
"Actenoides_lindsayi",92.84,14.11,46.7673856775295
"Actenoides_princeps",105,-1.5,45.0662811234936
"Actinodura_egertoni",36,24.85,17.386142043177
"Actinodura_ramsayi",38.4,21.35,NA
"Actinodura_sodangorum",38.1,NA,17.8814849760849
"Actitis_hypoleucos",48,53.16,29.7808767710383
"Actitis_macularius",40.4,50.67,25.5159129803106
"Actophilornis_africanus",189.09,-3.37,36.962850052733
"Actophilornis_albinucha",239,-16.5,33.2105553678628
"Adelomyia_melanogenys",4.93,-4.04,17.9664580939507
"Aechmophorus_clarkii",1090.93,35.66,77.8820006956086
"Aechmophorus_occidentalis",1136.95,42.67,73.5535166781861
"Aegithalos_concinnus",6.1,26.81,NA
"Aegithalos_iouschistos",7,27.92,7.22529889130965
"Aegithalos_caudatus",8.6,49.17,7.43017715480347
"Aegithalos_fuliginosus",5.65,31.74,7.56028039995581
"Aegithalos_leucogenys",6.7,33.11,7.15713522713631
"Aegithalos_niveogularis",7.8,31.44,9.20679819734262
"Aegithina_lafresnayei",11.96,15.79,22.5856481469795
"Aegithina_nigrolutea",11.83,24.8,16.1388225358445
"Aegithina_tiphia",12,13.71,16.6028329257993
"Aegithina_viridissima",13.4,1.62,16.0056646295497
"Aegolius_acadicus",100.69,45.03,18.1170864540413
"Aegolius_funereus",137.18,55.42,18.6887172466726
NA,NA,NA,NA
"Aegolius_harrisii",120,-23.48,21.6756704880856
"Aegolius_ridgwayi",80,NA,18.1853561302368
"Aegotheles_bennettii",60,-6.91,17.5476845162494
"Aegotheles_albertisi",35.2,-7.45,11.6063520711847
"Aegotheles_archboldi",30.6,-5.23,13.1512849655002
"Aegotheles_crinifrons",136,0.38,23.0701686792206
"Aegotheles_cristatus",42.78,-25.72,14.4467839347627
"Aegotheles_insignis",78.5,-6.94,19.7175694969483
"Aegotheles_savesi",59.38,-21.27,21.7822105164174
"Aegotheles_tatei",52,NA,19.7211241025943
"Aegotheles_wallacii",50.73,-5.56,17.656602475377
"Aegypius_monachus",9320.55,37.3,88.1181738888845
"Aepypodius_arfakianus",1463.8,-5.34,35.7156213699561
"Aepypodius_bruijnii",192,-0.38,33.6490156388842
"Collocalia_bartschi",7.4,NA,4.90540102189407
"Collocalia_brevirostris",13.42,26.1,7.00628466229304
"Collocalia_elaphra",10.7,-4.54,6.38534885188565
"Collocalia_francica",8.9,-20.46,6.40762693933211
"Collocalia_fuciphaga",10.7,-0.91,6.72907744259574
"Collocalia_hirundinacea",10.1,-6.66,6.43538626120426
"Collocalia_infuscata",13.35,-2.36,6.03278587111272
"Collocalia_inquieta",13.35,15.6,7.26009414931759
"Collocalia_leucophaea",13.35,-17.67,6.35071358321467
"Collocalia_maxima",17,1.34,8.42230656570755
"Collocalia_mearnsi",11.3,11.62,6.14328602114692
"Collocalia_nuditarsus",13.35,-6.58,NA
"Collocalia_orientalis",13.35,-5.49,8.06406172960997
"Collocalia_papuensis",19.9,-4.83,8.81705395365134
"Collocalia_pelewensis",13.35,7.58,5.40458383192308
"Collocalia_salangana",11.3,-0.47,6.84397859210148
"Collocalia_sawtelli",8.6,-19.66,7.21167490966618
"Collocalia_spodiopygia",8.03,-12.73,6.14616415081546
"Collocalia_terraereginae",12,-17.67,6.57799031003378
"Collocalia_unicolor",11,10.97,6.79733903709985
"Collocalia_vanikorensis",10.7,-6.05,6.46188924951246
"Collocalia_vulcanorum",13.42,-6.92,6.84831299046054
"Collocalia_whiteheadi",14,11.65,8.38550587259233
"Aeronautes_andecolus",17.6,-21.88,6.97428201184608
"Aeronautes_montivagus",20.14,-3.28,6.34287552451715
"Aeronautes_saxatalis",32.1,32.93,6.58394799467603
"Aethia_cristatella",259.36,53.67,21.2610050489791
"Aethia_psittacula",269.98,59.33,20.4751346007455
"Aethia_pusilla",83.99,61.02,15.3143921271823
"Aethia_pygmaea",112,49.66,15.6420754968189
"Aethopyga_bella",4,NA,14.9229658647589
"Aethopyga_boltoni",7.09,7.62,19.801512870146
"Aethopyga_christinae",5.2,24.57,17.6465806112625
"Aethopyga_duyvenbodei",6.03,3.41,21.0587629545555
"Aethopyga_eximia",6.03,-7.59,21.4005678833816
"Aethopyga_flagrans",6.7,14.1,19.1969179119896
"Aethopyga_gouldiae",5,26.04,18.1852137092035
"Aethopyga_ignicauda",8.2,27.19,20.9487916160561
"Aethopyga_linaraborae",7.2,NA,22.7243884353433
"Aethopyga_siparaja",6.7,12.95,NA
"Aethopyga_mystacalis",6,0.34,16.8954649511259
"Aethopyga_nipalensis",6.9,25.07,22.2176183236763
"Aethopyga_primigenia",7,7.62,21.2260629329365
"Aethopyga_pulcherrima",6.2,11.74,21.0311170905903
"Aethopyga_saturata",5.3,20.07,21.6503513554372
"Aethopyga_shelleyi",4,11.27,16.0552451723721
"Afropavo_congensis",1273.65,-1.26,37.2755783724487
"Eupodotis_afra",689.99,-32.7,35.9109280486368
"Eupodotis_afraoides",745,-24.68,34.790471509397
"Agamia_agami",566.99,-1.95,158.96022304235
"Agapornis_canus",30,-19,13.5627462476641
"Agapornis_fischeri",48.3,-2.74,18.6077338735275
"Agapornis_lilianae",37.3,-15.61,15.7718575920141
"Agapornis_nigrigenis",40.5,-16.83,16.4772241014669
"Agapornis_personatus",52.38,-5.73,19.0729802575037
"Agapornis_pullarius",39.3,3.91,16.4431097411085
"Agapornis_roseicollis",53.83,-20.87,19.418793867873
"Agapornis_swindernianus",39.98,1.22,15.4281833594665
"Agapornis_taranta",57.48,10.18,19.2350062539224
"Agelaioides_badius",45.25,-22.84,19.5752686016932
"Agelaius_assimilis",47.68,NA,23.7539328624068
"Agelaius_humeralis",36.29,21.23,19.5732286353745
"Agelaius_phoeniceus",50.78,42.27,22.8394672123762
"Agelaius_tricolor",57.92,38.01,22.4283363108989
"Agelaius_xanthomus",38.4,18.46,19.7220135062933
"Agelastes_meleagrides",815,6.49,26.9506106182374
"Agelastes_niger",699.99,0.64,27.2327901659235
"Agelasticus_cyanopus",37.21,-18.59,24.4691273327451
"Agelasticus_thilius",31.5,-32.8,23.3463838835936
"Agelasticus_xanthophthalmus",45.1,-8.28,23.1288914383389
"Aglaeactis_aliciae",7.8,-7.58,20.0579235817269
"Aglaeactis_castelnaudii",6.7,-12.5,23.0168969263062
"Aglaeactis_cupripennis",7.6,-3.97,22.9799199601134
"Aglaeactis_pamela",5.5,-16.88,21.1440659727678
"Aglaiocercus_berlepschi",4.97,NA,18.5028454817792
"Aglaiocercus_coelestis",5.61,0.61,18.7962305661943
"Aglaiocercus_kingi",4.84,-2.35,18.9367517747451
"Carpodacus_rubescens",27.02,30.13,13.4675460678078
"Bradornis_infuscatus",32.4,-24.52,18.1991591718514
"Bradornis_pallidus",23.6,-2.17,17.5825895891879
"Agriornis_albicauda",53,-15.59,32.0261663649231
"Agriornis_lividus",99.1,-42.8,35.0011057444887
"Agriornis_micropterus",67.79,-43.52,32.3735884256195
"Agriornis_montanus",63.3,-27.57,30.0654208815789
"Agriornis_murinus",29.9,-41.18,22.6497870869562
"Sturnus_philippensis",28.8,42.02,17.9657793855349
"Sturnus_sturninus",49.4,46.06,18.0577594444808
"Ailuroedus_buccoides",138,-6.89,29.3748373777177
"Ailuroedus_crassirostris",205.32,-16.6,34.8041724784151
"Ailuroedus_melanotis",176.89,-16.21,37.1346434822492
"Aimophila_notosticta",27.1,17.17,15.2776688489914
"Aimophila_rufescens",34.3,19.12,18.416687552169
"Aimophila_ruficeps",18.69,30.27,14.5412661189679
"Aix_galericulata",567.04,44.4,32.8933146809395
"Aix_sponsa",657.59,41.15,38.6889216641484
"Myrmeciza_goeldii",42,-10.52,24.8606051669753
"Myrmeciza_melanoceps",38.5,-3.49,24.4826499708183
"Alaemon_alaudipes",43.72,25.14,29.5220556208398
"Alaemon_hamertoni",40.5,7.8,18.6565901726224
"Alauda_arvensis",37.31,51.57,14.3796220518219
"Alauda_gulgula",26.3,26.62,15.1948910487018
"Melanocorypha_leucoptera",45.3,49.56,13.968049065307
"Alauda_razae",21.9,16.48,15.7371479568109
"Calandrella_raytal",18.49,26.7,13.4582805941887
"Calandrella_rufescens",24.1,40.94,10.8378778960613
"Calandrella_somalica",21.01,8.4,13.8608724865077
"Alca_torda",725.99,60.03,42.5571224693023
"Alcedo_atthis",31.09,34.94,42.4985063879155
"Alcedo_coerulescens",27.59,-7.02,36.2822042672895
"Alcedo_euryzona",43.08,3.26,51.1631388453748
"Alcedo_hercules",27.59,24.1,56.6784229241312
"Alcedo_meninting",20.42,6.76,41.6484525435373
"Alcedo_quadribrachys",34.9,1.26,48.8836892334521
"Alcedo_semitorquata",47.32,-12.87,50.0558023402691
"Alcippe_brunneicauda",14.3,1.35,13.8377572140509
"Alcippe_grotei",14.3,NA,14.513916342007
"Alcippe_morrisonia",15.26,25.02,12.6945765199456
"Alcippe_nipalensis",15.8,24.83,11.9752626169175
"Alcippe_peracensis",14.3,13.61,14.1844138630275
"Alcippe_poioicephala",20.7,19.19,14.6108503219355
"Alcippe_pyrrhoptera",13.16,-7.1,13.6304786375444
"Pycnonotus_striatus",51.96,22.93,19.8742468646299
"Aleadryas_rufinucha",40.5,-5.34,20.1263030575961
"Alectoris_barbara",416.33,31.59,23.013636594858
"Alectoris_chukar",502.1,39.1,22.3309613954796
"Alectoris_graeca",594.11,42.56,20.8518946602995
"Alectoris_magna",541.35,37.99,23.5762214444131
"Alectoris_melanocephala",614.75,17.98,29.4133593315352
"Alectoris_philbyi",441,18.42,21.1533486459758
"Alectoris_rufa",527.86,42.73,23.5798091742434
"Alectroenas_madagascariensis",173,-18.21,17.6846934210975
"Alectroenas_pulcherrima",165,-4.54,20.1425340396035
"Alectroenas_sganzini",158,-11.9,19.6509618250933
"Alectrurus_risora",25,-31.23,17.9607109326236
"Alectrurus_tricolor",16,-19.23,14.9286882632654
"Alectura_lathami",2333.06,-22.8,38.150836766744
"Alethe_diademata",31.54,-0.06,19.7570515730884
"Alipiopsitta_xanthops",327.37,-14.5,33.433195309164
"Alisterus_amboinensis",153,-1.75,28.4654272443615
"Alisterus_chloropterus",156,-6.71,26.4808838861343
"Alisterus_scapularis",232.26,-28.69,26.2578526736405
"Alle_alle",180.73,74.96,19.9127527130488
"Margarops_fuscus",67.07,15.18,22.8997382141929
"Gallicolumba_beccarii",78.73,-6.28,15.9085350877605
"Gallicolumba_canifrons",160.39,7.58,20.549036587961
"Gallicolumba_erythroptera",113.18,-17.65,20.8355925963726
"Gallicolumba_hoedtii",160.39,-8.85,18.7956567239055
"Gallicolumba_jobiensis",135,-6.44,18.9300514516477
"Gallicolumba_kubaryi",162,7.01,21.3073975740001
"Gallicolumba_rubescens",60,-8.73,17.3784564788472
"Gallicolumba_sanctaecrucis",160.39,-13.46,20.4431492236443
